{   'action_dim': 6,
    'alpha': 0.7,
#Games: 165 #Frames: 165000  Train_Max: 3696.11  Test_Score: 3508.83  Avg: 1995.39  ENV:  HalfCheetah-v2  DDPG Reward: 4298.03  PG Loss: -213.2967

#Games: 176 #Frames: 176000  Train_Max: 3785.69  Test_Score: 3160.01  Avg: 2269.06  ENV:  HalfCheetah-v2  DDPG Reward: 4317.86  PG Loss: -233.5474

#Games: 187 #Frames: 187000  Train_Max: 4054.36  Test_Score: 3339.29  Avg: 2509.39  ENV:  HalfCheetah-v2  DDPG Reward: 4408.67  PG Loss: -253.8454

#Games: 198 #Frames: 198000  Train_Max: 3920.68  Test_Score: 3777.06  Avg: 2749.83  ENV:  HalfCheetah-v2  DDPG Reward: 4360.18  PG Loss: -272.5608

#Games: 209 #Frames: 209000  Train_Max: 3875.12  Test_Score: 3488.52  Avg: 2983.49  ENV:  HalfCheetah-v2  DDPG Reward: 4885.86  PG Loss: -289.8066

Progress Saved
Sync from RL --> Nevo
#Games: 220 #Frames: 220000  Train_Max: 4174.45  Test_Score: 4071.33  Avg: 3181.74  ENV:  HalfCheetah-v2  DDPG Reward: 4933.49  PG Loss: -305.7603

#Games: 231 #Frames: 231000  Train_Max: 4927.25  Test_Score: 4923.30  Avg: 3441.29  ENV:  HalfCheetah-v2  DDPG Reward: 5128.66  PG Loss: -321.4539

#Games: 242 #Frames: 242000  Train_Max: 4992.17  Test_Score: 4928.00  Avg: 3609.07  ENV:  HalfCheetah-v2  DDPG Reward: 4965.10  PG Loss: -337.3806

#Games: 253 #Frames: 253000  Train_Max: 4970.23  Test_Score: 4927.88  Avg: 3784.29  ENV:  HalfCheetah-v2  DDPG Reward: 5074.53  PG Loss: -352.6210

#Games: 264 #Frames: 264000  Train_Max: 4999.51  Test_Score: 5080.81  Avg: 3956.38  ENV:  HalfCheetah-v2  DDPG Reward: 5121.20  PG Loss: -366.7168

#Games: 275 #Frames: 275000  Train_Max: 5077.41  Test_Score: 5084.98  Avg: 4120.50  ENV:  HalfCheetah-v2  DDPG Reward: 5326.47  PG Loss: -380.5634

#Games: 286 #Frames: 286000  Train_Max: 5147.06  Test_Score: 5070.64  Avg: 4278.12  ENV:  HalfCheetah-v2  DDPG Reward: 5503.64  PG Loss: -393.4294

#Games: 297 #Frames: 297000  Train_Max: 5168.51  Test_Score: 5083.85  Avg: 4469.18  ENV:  HalfCheetah-v2  DDPG Reward: 5427.18  PG Loss: -405.4676

#Games: 308 #Frames: 308000  Train_Max: 5360.67  Test_Score: 5232.64  Avg: 4643.64  ENV:  HalfCheetah-v2  DDPG Reward: 5519.03  PG Loss: -417.3262

#Games: 319 #Frames: 319000  Train_Max: 5392.73  Test_Score: 5320.07  Avg: 4789.20  ENV:  HalfCheetah-v2  DDPG Reward: 5535.79  PG Loss: -428.6899

Sync from RL --> Nevo
#Games: 330 #Frames: 330000  Train_Max: 5351.31  Test_Score: 5329.68  Avg: 4972.35  ENV:  HalfCheetah-v2  DDPG Reward: 5678.59  PG Loss: -439.6035

#Games: 341 #Frames: 341000  Train_Max: 5727.24  Test_Score: 5685.12  Avg: 5098.19  ENV:  HalfCheetah-v2  DDPG Reward: 5984.19  PG Loss: -450.3410

#Games: 352 #Frames: 352000  Train_Max: 5720.80  Test_Score: 5721.02  Avg: 5174.37  ENV:  HalfCheetah-v2  DDPG Reward: 6052.18  PG Loss: -460.9466

#Games: 363 #Frames: 363000  Train_Max: 5679.96  Test_Score: 5674.48  Avg: 5253.67  ENV:  HalfCheetah-v2  DDPG Reward: 6169.05  PG Loss: -471.2125

#Games: 374 #Frames: 374000  Train_Max: 5743.96  Test_Score: 5690.73  Avg: 5328.33  ENV:  HalfCheetah-v2  DDPG Reward: 5912.12  PG Loss: -481.4160

#Games: 385 #Frames: 385000  Train_Max: 5741.56  Test_Score: 5714.57  Avg: 5389.32  ENV:  HalfCheetah-v2  DDPG Reward: 6249.29  PG Loss: -491.6992

#Games: 396 #Frames: 396000  Train_Max: 5842.54  Test_Score: 5773.41  Avg: 5452.28  ENV:  HalfCheetah-v2  DDPG Reward: 6265.62  PG Loss: -501.6900

#Games: 407 #Frames: 407000  Train_Max: 6100.93  Test_Score: 5756.01  Avg: 5522.56  ENV:  HalfCheetah-v2  DDPG Reward: 5985.73  PG Loss: -511.2116

Progress Saved
#Games: 418 #Frames: 418000  Train_Max: 5654.07  Test_Score: 5658.32  Avg: 5589.77  ENV:  HalfCheetah-v2  DDPG Reward: 6536.96  PG Loss: -519.9714

#Games: 429 #Frames: 429000  Train_Max: 5773.27  Test_Score: 5726.03  Avg: 5632.34  ENV:  HalfCheetah-v2  DDPG Reward: 6431.44  PG Loss: -528.2216

Sync from RL --> Nevo
#Games: 440 #Frames: 440000  Train_Max: 5787.35  Test_Score: 5738.95  Avg: 5672.94  ENV:  HalfCheetah-v2  DDPG Reward: 6740.35  PG Loss: -536.3196

#Games: 451 #Frames: 451000  Train_Max: 6736.80  Test_Score: 6674.37  Avg: 5713.87  ENV:  HalfCheetah-v2  DDPG Reward: 6683.69  PG Loss: -544.3281

#Games: 462 #Frames: 462000  Train_Max: 6802.34  Test_Score: 6734.90  Avg: 5812.79  ENV:  HalfCheetah-v2  DDPG Reward: 6739.41  PG Loss: -551.7849

#Games: 473 #Frames: 473000  Train_Max: 6663.37  Test_Score: 6556.84  Avg: 5914.18  ENV:  HalfCheetah-v2  DDPG Reward: 6793.95  PG Loss: -559.3370

#Games: 484 #Frames: 484000  Train_Max: 6619.31  Test_Score: 6624.02  Avg: 6002.41  ENV:  HalfCheetah-v2  DDPG Reward: 7095.83  PG Loss: -566.7488

#Games: 495 #Frames: 495000  Train_Max: 6626.78  Test_Score: 6569.22  Avg: 6095.74  ENV:  HalfCheetah-v2  DDPG Reward: 6946.36  PG Loss: -573.9970

#Games: 506 #Frames: 506000  Train_Max: 6578.96  Test_Score: 6584.29  Avg: 6181.21  ENV:  HalfCheetah-v2  DDPG Reward: 7040.20  PG Loss: -580.8220

#Games: 517 #Frames: 517000  Train_Max: 6688.07  Test_Score: 6614.20  Avg: 6262.30  ENV:  HalfCheetah-v2  DDPG Reward: 7220.87  PG Loss: -587.8624

#Games: 528 #Frames: 528000  Train_Max: 6539.13  Test_Score: 6615.42  Avg: 6348.11  ENV:  HalfCheetah-v2  DDPG Reward: 7237.08  PG Loss: -595.3080

#Games: 539 #Frames: 539000  Train_Max: 6698.89  Test_Score: 6670.79  Avg: 6443.82  ENV:  HalfCheetah-v2  DDPG Reward: 7266.25  PG Loss: -602.7203

Sync from RL --> Nevo
#Games: 550 #Frames: 550000  Train_Max: 6720.23  Test_Score: 6743.37  Avg: 6538.30  ENV:  HalfCheetah-v2  DDPG Reward: 7001.83  PG Loss: -609.2112

#Games: 561 #Frames: 561000  Train_Max: 7145.25  Test_Score: 6970.82  Avg: 6638.74  ENV:  HalfCheetah-v2  DDPG Reward: 7229.41  PG Loss: -616.8804

#Games: 572 #Frames: 572000  Train_Max: 7149.01  Test_Score: 7096.30  Avg: 6668.39  ENV:  HalfCheetah-v2  DDPG Reward: 7394.38  PG Loss: -623.9868

#Games: 583 #Frames: 583000  Train_Max: 7393.89  Test_Score: 7242.50  Avg: 6704.53  ENV:  HalfCheetah-v2  DDPG Reward: 7637.20  PG Loss: -630.6847

#Games: 594 #Frames: 594000  Train_Max: 7205.46  Test_Score: 7233.45  Avg: 6773.09  ENV:  HalfCheetah-v2  DDPG Reward: 7552.15  PG Loss: -637.6376

#Games: 605 #Frames: 605000  Train_Max: 7366.28  Test_Score: 7186.88  Avg: 6834.04  ENV:  HalfCheetah-v2  DDPG Reward: 7555.22  PG Loss: -644.3845

Progress Saved
#Games: 616 #Frames: 616000  Train_Max: 7319.87  Test_Score: 7226.98  Avg: 6895.80  ENV:  HalfCheetah-v2  DDPG Reward: 7473.93  PG Loss: -651.1061

#Games: 627 #Frames: 627000  Train_Max: 7136.25  Test_Score: 7107.90  Avg: 6960.07  ENV:  HalfCheetah-v2  DDPG Reward: 7784.43  PG Loss: -657.4980

#Games: 638 #Frames: 638000  Train_Max: 7278.92  Test_Score: 7182.80  Avg: 7009.44  ENV:  HalfCheetah-v2  DDPG Reward: 7678.51  PG Loss: -663.9006

#Games: 649 #Frames: 649000  Train_Max: 7246.13  Test_Score: 6969.73  Avg: 7066.18  ENV:  HalfCheetah-v2  DDPG Reward: 7648.39  PG Loss: -670.2567

Sync from RL --> Nevo
#Games: 660 #Frames: 660000  Train_Max: 7152.71  Test_Score: 7112.95  Avg: 7096.07  ENV:  HalfCheetah-v2  DDPG Reward: 7918.00  PG Loss: -675.7007

#Games: 671 #Frames: 671000  Train_Max: 7733.22  Test_Score: 7871.27  Avg: 7133.03  ENV:  HalfCheetah-v2  DDPG Reward: 7710.39  PG Loss: -681.2734

#Games: 682 #Frames: 682000  Train_Max: 7939.20  Test_Score: 7795.60  Avg: 7223.08  ENV:  HalfCheetah-v2  DDPG Reward: 7761.48  PG Loss: -686.8903

#Games: 693 #Frames: 693000  Train_Max: 7781.10  Test_Score: 7940.65  Avg: 7293.01  ENV:  HalfCheetah-v2  DDPG Reward: 7889.63  PG Loss: -692.2001

#Games: 704 #Frames: 704000  Train_Max: 8002.38  Test_Score: 7912.30  Avg: 7362.82  ENV:  HalfCheetah-v2  DDPG Reward: 7985.55  PG Loss: -697.7814

#Games: 715 #Frames: 715000  Train_Max: 7997.16  Test_Score: 7863.24  Avg: 7430.71  ENV:  HalfCheetah-v2  DDPG Reward: 8033.06  PG Loss: -703.1562

#Games: 726 #Frames: 726000  Train_Max: 8010.37  Test_Score: 7899.22  Avg: 7498.34  ENV:  HalfCheetah-v2  DDPG Reward: 7975.92  PG Loss: -708.5641

#Games: 737 #Frames: 737000  Train_Max: 7981.22  Test_Score: 7938.25  Avg: 7565.57  ENV:  HalfCheetah-v2  DDPG Reward: 8079.94  PG Loss: -714.0278

#Games: 748 #Frames: 748000  Train_Max: 7962.12  Test_Score: 7923.73  Avg: 7648.60  ENV:  HalfCheetah-v2  DDPG Reward: 8133.05  PG Loss: -719.3922

#Games: 759 #Frames: 759000  Train_Max: 7915.14  Test_Score: 7930.08  Avg: 7722.69  ENV:  HalfCheetah-v2  DDPG Reward: 8108.70  PG Loss: -724.3751

Sync from RL --> Nevo
#Games: 770 #Frames: 770000  Train_Max: 8062.72  Test_Score: 7879.15  Avg: 7818.73  ENV:  HalfCheetah-v2  DDPG Reward: 8158.93  PG Loss: -729.0861

#Games: 781 #Frames: 781000  Train_Max: 8177.64  Test_Score: 8120.82  Avg: 7895.35  ENV:  HalfCheetah-v2  DDPG Reward: 8126.11  PG Loss: -734.1182

#Games: 792 #Frames: 792000  Train_Max: 8180.31  Test_Score: 8168.73  Avg: 7920.30  ENV:  HalfCheetah-v2  DDPG Reward: 8145.45  PG Loss: -738.8313

#Games: 803 #Frames: 803000  Train_Max: 8119.87  Test_Score: 8069.42  Avg: 7957.62  ENV:  HalfCheetah-v2  DDPG Reward: 8302.60  PG Loss: -743.5264

Progress Saved
#Games: 814 #Frames: 814000  Train_Max: 8113.25  Test_Score: 8199.75  Avg: 7970.49  ENV:  HalfCheetah-v2  DDPG Reward: 8314.83  PG Loss: -747.8157

#Games: 825 #Frames: 825000  Train_Max: 8158.86  Test_Score: 8160.50  Avg: 7999.24  ENV:  HalfCheetah-v2  DDPG Reward: 8301.36  PG Loss: -752.3868

#Games: 836 #Frames: 836000  Train_Max: 8192.24  Test_Score: 8121.84  Avg: 8028.96  ENV:  HalfCheetah-v2  DDPG Reward: 8313.69  PG Loss: -756.4527

#Games: 847 #Frames: 847000  Train_Max: 8185.06  Test_Score: 8183.41  Avg: 8051.23  ENV:  HalfCheetah-v2  DDPG Reward: 8492.03  PG Loss: -760.4941

#Games: 858 #Frames: 858000  Train_Max: 8163.00  Test_Score: 6390.66  Avg: 8075.74  ENV:  HalfCheetah-v2  DDPG Reward: 8452.75  PG Loss: -764.4971

#Games: 869 #Frames: 869000  Train_Max: 8068.14  Test_Score: 8172.89  Avg: 7922.44  ENV:  HalfCheetah-v2  DDPG Reward: 8543.87  PG Loss: -767.5239

Sync from RL --> Nevo
#Games: 880 #Frames: 880000  Train_Max: 8111.47  Test_Score: 8169.22  Avg: 7946.72  ENV:  HalfCheetah-v2  DDPG Reward: 8561.30  PG Loss: -770.8535

#Games: 891 #Frames: 891000  Train_Max: 8574.51  Test_Score: 8513.10  Avg: 7975.72  ENV:  HalfCheetah-v2  DDPG Reward: 8495.29  PG Loss: -774.1508

#Games: 902 #Frames: 902000  Train_Max: 8488.52  Test_Score: 8547.13  Avg: 8014.95  ENV:  HalfCheetah-v2  DDPG Reward: 8514.13  PG Loss: -777.3862

#Games: 913 #Frames: 913000  Train_Max: 8562.00  Test_Score: 8512.51  Avg: 8052.79  ENV:  HalfCheetah-v2  DDPG Reward: 8480.54  PG Loss: -780.2529

#Games: 924 #Frames: 924000  Train_Max: 8651.18  Test_Score: 8533.56  Avg: 8097.10  ENV:  HalfCheetah-v2  DDPG Reward: 8530.98  PG Loss: -783.0604

#Games: 935 #Frames: 935000  Train_Max: 8645.18  Test_Score: 8608.47  Avg: 8130.48  ENV:  HalfCheetah-v2  DDPG Reward: 8444.13  PG Loss: -785.9307

#Games: 946 #Frames: 946000  Train_Max: 8693.23  Test_Score: 8580.21  Avg: 8175.28  ENV:  HalfCheetah-v2  DDPG Reward: 8544.22  PG Loss: -788.9911

#Games: 957 #Frames: 957000  Train_Max: 8679.65  Test_Score: 8547.48  Avg: 8221.12  ENV:  HalfCheetah-v2  DDPG Reward: 8709.47  PG Loss: -792.2045

#Games: 968 #Frames: 968000  Train_Max: 8566.49  Test_Score: 8601.62  Avg: 8257.52  ENV:  HalfCheetah-v2  DDPG Reward: 8539.30  PG Loss: -795.0994

#Games: 979 #Frames: 979000  Train_Max: 8613.60  Test_Score: 8577.13  Avg: 8478.62  ENV:  HalfCheetah-v2  DDPG Reward: 8603.85  PG Loss: -797.9643

Sync from RL --> Nevo
#Games: 990 #Frames: 990000  Train_Max: 8496.99  Test_Score: 8512.63  Avg: 8519.04  ENV:  HalfCheetah-v2  DDPG Reward: 8649.17  PG Loss: -800.8986

#Games: 1001 #Frames: 1001000  Train_Max: 8657.59  Test_Score: 8573.88  Avg: 8553.38  ENV:  HalfCheetah-v2  DDPG Reward: 8312.64  PG Loss: -804.0146

Progress Saved
#Games: 1012 #Frames: 1012000  Train_Max: 8738.34  Test_Score: 8618.61  Avg: 8559.46  ENV:  HalfCheetah-v2  DDPG Reward: 8717.22  PG Loss: -808.8627

#Games: 1023 #Frames: 1023000  Train_Max: 8684.33  Test_Score: 8638.37  Avg: 8566.61  ENV:  HalfCheetah-v2  DDPG Reward: 8781.01  PG Loss: -813.2632

#Games: 1034 #Frames: 1034000  Train_Max: 8624.41  Test_Score: 8595.48  Avg: 8579.20  ENV:  HalfCheetah-v2  DDPG Reward: 8749.88  PG Loss: -818.0104

#Games: 1045 #Frames: 1045000  Train_Max: 8672.66  Test_Score: 8542.32  Avg: 8585.39  ENV:  HalfCheetah-v2  DDPG Reward: 8724.07  PG Loss: -822.2877

#Games: 1056 #Frames: 1056000  Train_Max: 8586.57  Test_Score: 8560.01  Avg: 8578.77  ENV:  HalfCheetah-v2  DDPG Reward: 8715.30  PG Loss: -826.3644

#Games: 1067 #Frames: 1067000  Train_Max: 8570.23  Test_Score: 8511.90  Avg: 8576.75  ENV:  HalfCheetah-v2  DDPG Reward: 8770.52  PG Loss: -830.3772

#Games: 1078 #Frames: 1078000  Train_Max: 8512.10  Test_Score: 8542.78  Avg: 8573.20  ENV:  HalfCheetah-v2  DDPG Reward: 8948.94  PG Loss: -834.4109

#Games: 1089 #Frames: 1089000  Train_Max: 8523.40  Test_Score: 8586.14  Avg: 8567.31  ENV:  HalfCheetah-v2  DDPG Reward: 8962.02  PG Loss: -838.2433

Sync from RL --> Nevo
#Games: 1100 #Frames: 1100000  Train_Max: 8581.82  Test_Score: 8519.03  Avg: 8568.21  ENV:  HalfCheetah-v2  DDPG Reward: 8917.42  PG Loss: -842.4487

#Games: 1111 #Frames: 1111000  Train_Max: 8869.78  Test_Score: 8896.65  Avg: 8568.85  ENV:  HalfCheetah-v2  DDPG Reward: 8945.93  PG Loss: -846.1269

#Games: 1122 #Frames: 1122000  Train_Max: 9104.03  Test_Score: 8946.43  Avg: 8601.13  ENV:  HalfCheetah-v2  DDPG Reward: 9018.22  PG Loss: -849.4427

#Games: 1133 #Frames: 1133000  Train_Max: 9058.26  Test_Score: 8927.22  Avg: 8633.91  ENV:  HalfCheetah-v2  DDPG Reward: 9195.17  PG Loss: -852.6025

#Games: 1144 #Frames: 1144000  Train_Max: 9002.88  Test_Score: 8957.72  Avg: 8662.80  ENV:  HalfCheetah-v2  DDPG Reward: 9182.26  PG Loss: -855.8854

#Games: 1155 #Frames: 1155000  Train_Max: 9057.51  Test_Score: 8810.67  Avg: 8699.02  ENV:  HalfCheetah-v2  DDPG Reward: 9123.12  PG Loss: -858.2363

#Games: 1166 #Frames: 1166000  Train_Max: 8914.53  Test_Score: 8771.55  Avg: 8725.86  ENV:  HalfCheetah-v2  DDPG Reward: 9113.73  PG Loss: -861.7629

#Games: 1177 #Frames: 1177000  Train_Max: 8940.34  Test_Score: 8796.97  Avg: 8747.01  ENV:  HalfCheetah-v2  DDPG Reward: 9147.18  PG Loss: -865.2303

#Games: 1188 #Frames: 1188000  Train_Max: 8908.41  Test_Score: 6878.17  Avg: 8775.52  ENV:  HalfCheetah-v2  DDPG Reward: 9150.26  PG Loss: -868.3096

#Games: 1199 #Frames: 1199000  Train_Max: 8880.14  Test_Score: 8817.55  Avg: 8609.06  ENV:  HalfCheetah-v2  DDPG Reward: 9241.54  PG Loss: -871.9702

Sync from RL --> Nevo
#Games: 1210 #Frames: 1210000  Train_Max: 8825.48  Test_Score: 8801.47  Avg: 8632.20  ENV:  HalfCheetah-v2  DDPG Reward: 9074.18  PG Loss: -875.2109

Progress Saved
#Games: 1221 #Frames: 1221000  Train_Max: 8963.40  Test_Score: 9037.19  Avg: 8660.44  ENV:  HalfCheetah-v2  DDPG Reward: 9178.94  PG Loss: -878.5850

#Games: 1232 #Frames: 1232000  Train_Max: 9069.55  Test_Score: 9047.12  Avg: 8674.50  ENV:  HalfCheetah-v2  DDPG Reward: 9161.14  PG Loss: -881.5868

#Games: 1243 #Frames: 1243000  Train_Max: 9238.83  Test_Score: 9154.31  Avg: 8684.56  ENV:  HalfCheetah-v2  DDPG Reward: 9259.45  PG Loss: -885.0035

#Games: 1254 #Frames: 1254000  Train_Max: 9265.92  Test_Score: 9175.42  Avg: 8707.27  ENV:  HalfCheetah-v2  DDPG Reward: 9237.76  PG Loss: -888.2857

#Games: 1265 #Frames: 1265000  Train_Max: 9221.97  Test_Score: 9205.18  Avg: 8729.04  ENV:  HalfCheetah-v2  DDPG Reward: 9331.33  PG Loss: -891.2378

#Games: 1276 #Frames: 1276000  Train_Max: 9209.17  Test_Score: 9110.66  Avg: 8768.49  ENV:  HalfCheetah-v2  DDPG Reward: 9369.29  PG Loss: -894.2857

#Games: 1287 #Frames: 1287000  Train_Max: 9208.97  Test_Score: 8993.79  Avg: 8802.40  ENV:  HalfCheetah-v2  DDPG Reward: 9254.21  PG Loss: -897.6226

#Games: 1298 #Frames: 1298000  Train_Max: 9083.25  Test_Score: 9073.95  Avg: 8822.09  ENV:  HalfCheetah-v2  DDPG Reward: 9460.64  PG Loss: -900.6783

#Games: 1309 #Frames: 1309000  Train_Max: 9092.52  Test_Score: 9024.85  Avg: 9041.67  ENV:  HalfCheetah-v2  DDPG Reward: 9511.77  PG Loss: -903.7568

Sync from RL --> Nevo
#Games: 1320 #Frames: 1320000  Train_Max: 9061.34  Test_Score: 8840.04  Avg: 9062.39  ENV:  HalfCheetah-v2  DDPG Reward: 9570.88  PG Loss: -906.7383

#Games: 1331 #Frames: 1331000  Train_Max: 9694.28  Test_Score: 9564.76  Avg: 9066.25  ENV:  HalfCheetah-v2  DDPG Reward: 9486.16  PG Loss: -910.1353

#Games: 1342 #Frames: 1342000  Train_Max: 9756.13  Test_Score: 9567.56  Avg: 9119.01  ENV:  HalfCheetah-v2  DDPG Reward: 9564.78  PG Loss: -912.5389

#Games: 1353 #Frames: 1353000  Train_Max: 9671.99  Test_Score: 9539.20  Avg: 9171.05  ENV:  HalfCheetah-v2  DDPG Reward: 9556.74  PG Loss: -915.8482

#Games: 1364 #Frames: 1364000  Train_Max: 9511.64  Test_Score: 9622.43  Avg: 9209.54  ENV:  HalfCheetah-v2  DDPG Reward: 9469.96  PG Loss: -918.8371

#Games: 1375 #Frames: 1375000  Train_Max: 9532.68  Test_Score: 9585.06  Avg: 9254.24  ENV:  HalfCheetah-v2  DDPG Reward: 9617.45  PG Loss: -922.1436

#Games: 1386 #Frames: 1386000  Train_Max: 9621.32  Test_Score: 9539.87  Avg: 9292.23  ENV:  HalfCheetah-v2  DDPG Reward: 9548.18  PG Loss: -925.4216

#Games: 1397 #Frames: 1397000  Train_Max: 9588.24  Test_Score: 9556.78  Avg: 9335.15  ENV:  HalfCheetah-v2  DDPG Reward: 9569.57  PG Loss: -928.5195

#Games: 1408 #Frames: 1408000  Train_Max: 9661.15  Test_Score: 9654.75  Avg: 9391.45  ENV:  HalfCheetah-v2  DDPG Reward: 9609.69  PG Loss: -932.0909

Progress Saved
#Games: 1419 #Frames: 1419000  Train_Max: 9659.02  Test_Score: 9626.27  Avg: 9449.53  ENV:  HalfCheetah-v2  DDPG Reward: 9708.37  PG Loss: -935.2951

Sync from RL --> Nevo
#Games: 1430 #Frames: 1430000  Train_Max: 9556.03  Test_Score: 9580.16  Avg: 9509.67  ENV:  HalfCheetah-v2  DDPG Reward: 9680.21  PG Loss: -938.7620

#Games: 1441 #Frames: 1441000  Train_Max: 9713.86  Test_Score: 9680.52  Avg: 9583.68  ENV:  HalfCheetah-v2  DDPG Reward: 9570.71  PG Loss: -941.5613

#Games: 1452 #Frames: 1452000  Train_Max: 9725.85  Test_Score: 9670.58  Avg: 9595.26  ENV:  HalfCheetah-v2  DDPG Reward: 9579.72  PG Loss: -944.5933

#Games: 1463 #Frames: 1463000  Train_Max: 9638.13  Test_Score: 9597.43  Avg: 9605.56  ENV:  HalfCheetah-v2  DDPG Reward: 9755.26  PG Loss: -946.9022

#Games: 1474 #Frames: 1474000  Train_Max: 9809.34  Test_Score: 9670.34  Avg: 9611.39  ENV:  HalfCheetah-v2  DDPG Reward: 9824.24  PG Loss: -949.6689

#Games: 1485 #Frames: 1485000  Train_Max: 9818.53  Test_Score: 9657.20  Avg: 9616.18  ENV:  HalfCheetah-v2  DDPG Reward: 9643.58  PG Loss: -951.9828

#Games: 1496 #Frames: 1496000  Train_Max: 9771.51  Test_Score: 9659.05  Avg: 9623.39  ENV:  HalfCheetah-v2  DDPG Reward: 9794.00  PG Loss: -954.3475

#Games: 1507 #Frames: 1507000  Train_Max: 9765.34  Test_Score: 9701.44  Avg: 9635.31  ENV:  HalfCheetah-v2  DDPG Reward: 9727.67  PG Loss: -957.8707

#Games: 1518 #Frames: 1518000  Train_Max: 9523.88  Test_Score: 9614.24  Avg: 9649.78  ENV:  HalfCheetah-v2  DDPG Reward: 9879.43  PG Loss: -960.1137

#Games: 1529 #Frames: 1529000  Train_Max: 9654.73  Test_Score: 9634.37  Avg: 9645.72  ENV:  HalfCheetah-v2  DDPG Reward: 9888.08  PG Loss: -962.8789

Sync from RL --> Nevo
#Games: 1540 #Frames: 1540000  Train_Max: 9714.90  Test_Score: 9722.40  Avg: 9646.53  ENV:  HalfCheetah-v2  DDPG Reward: 9907.72  PG Loss: -965.3416

